ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
372  ,BRETTONWOOD RIDGE ,K2T0H8,Ward 4,4M1502,38,POOLARAMA,Single,Kanata,Install an enclosure for a semi inground pool (rear yard),0,0,0,1807192,Pool Enclosure, 2021-Oct-06
11  ,BEGGS CRT ,K0A2E0,Ward 21,4M1579,1,CONTRACTOR UNKNOWN,Single,Rideau,Intall an enclosure for a semi-inground pool (rear yard),0,0,0,2008197,Pool Enclosure, 2021-Jul-06
5500  ,CEDAR DR ,K4M1B4,Ward 20,,18,"BOISVERT, JOHN",Single,Osgoode,Install an enclosure for a hot tub (rear yard),0,0,0,2010072,Pool Enclosure, 2021-Jul-26
1458  ,CYRVILLE RD ,K1B3L9,Ward 11,,,TIKKUN CONSTRUCTION,Retail,Gloucester,Tenant fit-up to a 1 storey mixed use building (Shillow Beer Co.),0,"75,000",3767,2100001,Construction, 2021-Jan-04
360  ,LAURIER AVE W,K1P1C8,Ward 14,2996,28 & 29,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 2nd floor of an 11 storey office building (Suite # 210),0,"44,486",753,2100002,Construction, 2021-Jan-04
36  ,ROBSON CRT ,K2K2W1,Ward 4,573,,CONTRACTOR UNKNOWN,Apartment,Kanata,Interior alterations in a 2 storey residential unit in a condo,0,"20,000",200,2100003,Construction, 2021-Jan-04
126  -1,JOLLIET AVE ,K1L5G9,Ward 12,M27,143,CONTRACTOR UNKNOWN,Apartment,Vanier,Interior alterations to a 2 storey triplex,0,"60,000",3447,2100005,Construction, 2021-Jan-04
470  ,BRIERWOOD AVE ,K2A2H3,Ward 15,283,225,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for an inground pool (rear yard),0,0,0,2100006,Pool Enclosure, 2021-Jan-04
9  ,HOPKINTON ST ,K2J2X4,Ward 3,4M-450,240,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Nepean,Exterior alterations to a 2 storey detached dwelling (foundation repair),0,"8,000",58,2100007,Construction, 2021-Jan-04
529  ,BOBOLINK RIDGE ,K2S2N5,Ward 6,4M-1619,76,CLARIDGE HOMES (WESTWOOD) INC,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Poplar 2018 B,1,"463,199",2770,2100009,Construction, 2021-Jan-04
2121  ,CARLING AVE ,K2A1S3,Ward 7,316039,,A & A DESIGN AND CONSTRUCTION INC.,Retail,Old Ottawa,Interior alterations on the 1st floor of a 2 storey retail building (Carlingwood Mall - Medical Clinic - Unit # 35B),0,"100,000",431,2100010,Construction, 2021-Jan-04
410  ,BANK ST ,K2P1Y8,Ward 14,15558,22-23,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Tenant fit-up on the 1st floor of a 2 storey mixed-use building (Pizzeria Da Romolo),0,"50,000",1076,2100012,Construction, 2021-Jan-04
1625  ,VANIER PKY ,K1L0B2,Ward 12,4M-,,BONA BUILDING & MGT. CO. LTD.,Office,Vanier,Tenant fit-up on the 4th floor of a 10 storey office building,0,"2,352,264",16011,2100013,Construction, 2021-Jan-04
88  ,HARROLD PL ,K1Z7N8,Ward 16,267570,168 169,"ROGALA, TROY",Single,Old Ottawa,Interior alterations to the 2nd floor of a 2 storey detached dwelling (4-piece bathroom),0,"18,000",73,2100014,Construction, 2021-Jan-04
1013  ,GRAPEFERN TERR ,K4A0L9,Ward 19,4M1313,,***CONTRACTOR***,Single,Cumberland,Install an enclosure for an above ground pool (rear yard),0,0,0,2100015,Pool Enclosure, 2021-Jan-04
32  ,LAURIE CRT ,K2L1S4,Ward 23,887,958,CONTRACTOR UNKNOWN,Single,Kanata,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1,"50,000",1830,2100016,Construction, 2021-Jan-04
925  ,EMBANKMENT ST ,K2S2P6,Ward 6,4M-1619,159,TAMARACK DEVELOPMENTS CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 3811 2020 B,1,"452,998",2709,2100017,Construction, 2021-Jan-05
15  ,SALAMANDER WAY ,K1X0E9,Ward 22,4M-1617,22,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Annapolis 2019 E,1,"607,008",3630,2100018,Construction, 2021-Jan-05
343  ,SONG SPARROW ST ,K2J5Y9,Ward 3,4M-1490,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,"12,783",344,2100019,Construction, 2021-Jan-05
1377  ,TRIOLE ST ,K1B4T4,Ward 18,63,20,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Tenant fit-up in a 2 storey industrial building (Guillevin International),0,"50,000",3423,2100020,Construction, 2021-Jan-05
852  ,BANK ST ,K1S3W3,Ward 17,47389,1,SDGC,Retail,Old Ottawa,"Tenant fit-up on the 1st floor of a 4 storey mixed use building (Unit 105, Superette Cannabis Retail)",0,"125,000",2286,2100023,Construction, 2021-Jan-05
3865  ,OLD RICHMOND RD ,K2H5C1,Ward 8,4M-,35,WARLYN CONSTRUCTION LTD.,Mixed,Nepean,Construct a 3 storey mixed use building,35,"6,279,445",37127,2100025,Construction, 2021-Jan-05
